,Ticker,Date,Pred_Price,Percent_Movement,net_change,total_movement,Recommendation
0,BOFA,2021-07-09,42.199215,8.816957254956964,14.119998999999993,43.06190475566009,Hold
0,MorganStanley,2021-07-09,93.339745,6.503589266210614,51.459998999999996,106.34428614061346,Hold
0,GS,2021-07-09,378.9956,5.587452877082785,185.589997,84.62064156326605,Hold
