,Date,score,Close
0,2019-11-13,-0.25,48.389998999999996
1,2019-11-14,0.6901,48.610001000000004
2,2019-11-15,0.9524,48.990002000000004
3,2019-11-18,0.9081,49.029999
4,2019-11-19,0.8338,49.330002
5,2019-11-20,0.4497,49.099998
6,2019-11-21,0.6124,48.84
7,2019-11-22,0.982,49.25
8,2019-11-25,0.4019,49.959998999999996
9,2019-11-26,0.9022,49.41
10,2019-11-27,0.8442,49.779999
11,2019-11-29,0.8674,49.48
12,2019-12-02,0.8957,49.080002
13,2019-12-03,0.5423,48.110001000000004
14,2019-12-04,0.9538,48.84
15,2019-12-05,0.9643,49.07
16,2019-12-06,0.9783,49.799999
17,2019-12-09,0.5423,49.599998
18,2019-12-10,0.4019,49.669998
19,2019-12-11,0.9458,49.450001
20,2019-12-12,0.9081,50.689999
21,2019-12-13,0.9186,50.240002000000004
22,2019-12-16,0.5,50.720001
23,2019-12-17,0.5859,50.900002
24,2019-12-18,0.9136,50.66
25,2019-12-19,0.8625,50.860001000000004
26,2019-12-20,0.8885,50.689999
27,2019-12-23,0.3612,50.720001
28,2019-12-24,0.8519,50.689999
29,2019-12-26,0.8555,51.110001000000004
30,2019-12-27,0.7425,51.09
31,2019-12-30,0.9775,50.959998999999996
32,2019-12-31,0.6486,51.119999
33,2020-01-02,0.8176,52.040001000000004
34,2020-01-03,0.9618,51.200001
35,2020-01-06,0.34,51.02
36,2020-01-07,0.8294,50.919998
37,2020-01-08,0.0772,51.57
38,2020-01-09,0.8316,52.060001
39,2020-01-10,0.7717,52.209998999999996
40,2020-01-13,0.91,52.779999
41,2020-01-14,0.9694,52.860001000000004
42,2020-01-15,0.5927,52.939999
43,2020-01-16,0.0,56.439999
44,2020-01-17,-0.2732,57.509997999999996
45,2020-01-21,0.5,55.919998
46,2020-01-22,0.8271,55.860001000000004
47,2020-01-23,-0.4549,55.529999
48,2020-01-24,0.8854,54.549999
49,2020-01-27,0.9377,53.110001000000004
50,2020-01-28,0.8074,54.02
51,2020-01-29,0.5423,53.68
52,2020-01-30,0.1779,53.82
53,2020-01-31,0.4215,52.259997999999996
54,2020-02-03,0.9186,52.599998
55,2020-02-04,0.2263,54.02
56,2020-02-05,0.765,54.990002000000004
57,2020-02-06,0.5994,55.009997999999996
58,2020-02-07,0.3415,55.029999
59,2020-02-10,0.9493,55.349998
60,2020-02-11,0.8591,55.779999
61,2020-02-12,0.9607,56.18
62,2020-02-13,0.948,55.93
63,2020-02-14,0.3182,55.84
64,2020-02-18,0.765,55.52
65,2020-02-19,0.7935,56.310001
66,2020-02-20,-0.1129,53.75
67,2020-02-21,0.765,52.419998
68,2020-02-24,0.7506,49.68
69,2020-02-25,0.1779,48.029999
70,2020-02-26,-0.184,47.240002000000004
71,2020-02-27,0.9593,45.41
72,2020-02-28,0.0562,45.029999
73,2020-03-02,0.9134,46.48
74,2020-03-03,0.5859,44.400002
75,2020-03-04,0.547,45.240002000000004
76,2020-03-05,0.4588,42.59
77,2020-03-06,0.8122,41.84
78,2020-03-09,0.9313,37.5
79,2020-03-10,0.0772,39.5
80,2020-03-11,0.7713,36.869999
81,2020-03-12,0.6705,31.309998999999998
82,2020-03-13,0.959,37.5
83,2020-03-16,-0.5859,31.65
84,2020-03-17,0.6003,33.790001000000004
85,2020-03-18,0.0,30.75
86,2020-03-19,-0.296,30.92
87,2020-03-20,0.7003,29.67
88,2020-03-23,0.5,27.809998999999998
89,2020-03-24,-0.5719,33.220001
90,2020-03-25,-0.4939,33.990002000000004
91,2020-03-26,0.1027,35.709998999999996
92,2020-03-27,-0.9531,34.009997999999996
93,2020-03-30,0.5,34.84
94,2020-03-31,0.0,34.0
95,2020-04-01,0.6486,31.620001000000002
96,2020-04-02,0.6369,33.900002
97,2020-04-03,0.0772,33.849998
98,2020-04-06,0.4019,37.009997999999996
99,2020-04-07,-0.8316,36.939999
100,2020-04-08,0.836,39.369999
101,2020-04-09,0.7269,41.080002
102,2020-04-13,0.5,39.580002
103,2020-04-14,0.7003,39.860001000000004
104,2020-04-15,0.8402,38.400002
105,2020-04-16,0.4215,38.360001000000004
106,2020-04-17,0.9719,39.09
107,2020-04-20,0.5,38.360001000000004
108,2020-04-21,-0.3818,36.950001
109,2020-04-22,0.6705,37.810001
110,2020-04-23,-0.4215,37.470001
111,2020-04-24,0.5,37.970001
112,2020-04-27,0.836,39.310001
113,2020-04-28,0.5279,40.130001
114,2020-04-29,0.1027,40.790001000000004
115,2020-04-30,-0.5423,39.43
116,2020-05-01,-0.8885,38.400002
117,2020-05-04,0.8885,38.09
118,2020-05-05,0.743,37.98
119,2020-05-06,0.2846,37.299999
120,2020-05-07,0.4939,38.810001
121,2020-05-08,0.0,40.080002
122,2020-05-11,0.5,39.830002
123,2020-05-12,0.608,38.419998
124,2020-05-13,0.9081,36.990002000000004
125,2020-05-14,-0.6808,37.810001
126,2020-05-15,0.0,37.290001000000004
127,2020-05-18,0.5,40.279999
128,2020-05-19,-0.4404,39.330002
129,2020-05-20,-0.7096,41.060001
130,2020-05-21,0.296,40.299999
131,2020-05-22,-0.3321,40.130001
132,2020-05-26,0.7184,43.689999
133,2020-05-27,-0.9423,46.860001000000004
134,2020-05-28,0.7003,44.400002
135,2020-05-29,0.7845,44.200001
136,2020-06-01,0.5,44.700001
137,2020-06-02,0.4215,45.580002
138,2020-06-03,0.5,46.91
139,2020-06-04,0.296,48.689999
140,2020-06-05,0.5,49.529999
141,2020-06-08,0.3612,50.150002
142,2020-06-09,0.9545,50.400002
143,2020-06-10,0.7425,48.689999
144,2020-06-11,0.6858,44.57
145,2020-06-12,0.8591,46.279999
146,2020-06-15,0.7964,47.400002
147,2020-06-16,0.9387,48.560001
148,2020-06-17,0.765,47.759997999999996
149,2020-06-18,0.0772,47.580002
150,2020-06-19,0.5106,46.93
151,2020-06-22,0.5,47.380001
152,2020-06-23,-0.9186,47.889998999999996
153,2020-06-24,0.6086,46.950001
154,2020-06-25,0.0,48.790001000000004
155,2020-06-26,-0.5789,47.049999
156,2020-06-29,0.0,47.240002000000004
157,2020-06-30,0.7579,48.299999
158,2020-07-01,0.9118,47.610001000000004
159,2020-07-02,0.7766,47.790001000000004
160,2020-07-06,0.2724,48.82
161,2020-07-07,-0.4404,47.490002000000004
162,2020-07-08,-0.3182,48.91
163,2020-07-09,0.3919,47.509997999999996
164,2020-07-10,0.6369,49.799999
165,2020-07-13,0.5,50.220001
166,2020-07-14,-0.7136,50.5
167,2020-07-15,-0.5242,51.349998
168,2020-07-16,0.0,52.639998999999996
169,2020-07-17,0.8658,52.41
170,2020-07-20,0.5,51.860001000000004
171,2020-07-21,0.8555,52.380001
172,2020-07-22,0.8074,51.0
173,2020-07-23,0.8151,50.560001
174,2020-07-24,0.4927,50.18
175,2020-07-27,0.4404,51.32
176,2020-07-28,0.7351,50.259997999999996
177,2020-07-29,0.7717,50.59
178,2020-07-30,0.946,48.950001
179,2020-07-31,0.9201,48.880001
180,2020-08-03,0.5719,49.459998999999996
181,2020-08-04,0.9312,49.259997999999996
182,2020-08-05,0.7351,49.77
183,2020-08-06,0.9588,49.450001
184,2020-08-07,0.8689,50.349998
185,2020-08-10,0.5017,50.580002
186,2020-08-11,0.9186,51.779999
187,2020-08-12,0.699,52.380001
188,2020-08-13,0.9287,52.18
189,2020-08-14,0.9257,52.299999
190,2020-08-17,0.5,51.279999
191,2020-08-18,0.7096,50.919998
192,2020-08-19,0.6486,51.369999
193,2020-08-20,0.296,50.799999
194,2020-08-21,-0.1027,51.099998
195,2020-08-24,0.296,52.369999
196,2020-08-25,-0.2263,52.049999
