,Date,score,Close
0,2019-11-13,0.0,0.002698
1,2019-11-14,0.0,0.00268
2,2019-11-15,0.0,0.002657
3,2019-11-16,0.0,0.002669
4,2019-11-17,0.0,0.002648
5,2019-11-18,0.7348,0.002576
6,2019-11-19,0.0,0.002548
7,2019-11-20,0.5859,0.0025559999999999997
8,2019-11-21,0.0,0.002426
9,2019-11-22,0.0,0.002362
10,2019-11-23,0.0,0.0025050000000000003
11,2019-11-24,0.0,0.002365
12,2019-11-25,0.0,0.002286
13,2019-11-26,0.0,0.002291
14,2019-11-27,0.0,0.002339
15,2019-11-28,0.5859,0.002313
16,2019-11-29,0.0,0.002456
17,2019-11-30,0.0,0.00232
18,2019-12-01,0.0,0.002292
19,2019-12-02,0.144,0.002235
20,2019-12-03,0.0,0.0022170000000000002
21,2019-12-04,0.0,0.002208
22,2019-12-05,0.0,0.002223
23,2019-12-06,0.0,0.002226
24,2019-12-07,0.9889,0.00223
25,2019-12-08,0.5859,0.002238
26,2019-12-09,0.0,0.002208
27,2019-12-10,0.9346,0.002204
28,2019-12-11,0.0,0.0021850000000000003
29,2019-12-12,0.9686,0.002188
30,2019-12-13,0.4939,0.002175
31,2019-12-14,0.5859,0.00217
32,2019-12-15,0.0,0.002154
33,2019-12-16,0.144,0.002121
34,2019-12-17,0.5859,0.002018
35,2019-12-18,0.8807,0.002183
36,2019-12-19,0.0,0.002123
37,2019-12-20,0.8625,0.002075
38,2019-12-21,0.0,0.002084
39,2019-12-22,0.0,0.0021149999999999997
40,2019-12-23,-0.2263,0.002073
41,2019-12-24,0.0,0.002073
42,2019-12-25,0.5859,0.002088
43,2019-12-26,0.0,0.002058
44,2019-12-27,0.0,0.002053
45,2019-12-28,0.5859,0.002064
46,2019-12-29,0.0,0.002068
47,2019-12-30,0.5859,0.002054
48,2019-12-31,0.0,0.0020280000000000003
49,2020-01-01,0.7184,0.0020329999999999997
50,2020-01-02,0.0,0.002009
51,2020-01-03,0.0,0.0021449999999999998
52,2020-01-04,0.0,0.002241
53,2020-01-05,0.0,0.002419
54,2020-01-06,0.0,0.002463
55,2020-01-07,0.5994,0.002433
56,2020-01-08,0.7579,0.002293
57,2020-01-09,0.7437,0.0022559999999999998
58,2020-01-10,0.0,0.002356
59,2020-01-11,0.0,0.002314
60,2020-01-12,0.0,0.002381
61,2020-01-13,0.4019,0.002358
62,2020-01-14,0.0,0.00247
63,2020-01-15,0.0,0.002369
64,2020-01-16,0.0,0.002345
65,2020-01-17,0.0,0.00249
66,2020-01-18,0.0,0.002507
67,2020-01-19,0.0,0.002405
