Company,Date,Open,High,Low,Close,Adj Close,Volume
MorganStanley,2019-11-13,48.52,48.580002,48.189999,48.389999,45.882702,7022000
MorganStanley,2019-11-14,48.32,48.720001,48.209999,48.610001,46.091305,5836600
MorganStanley,2019-11-15,48.869999,49.16,48.720001,48.990002,46.451614,6439000
MorganStanley,2019-11-18,48.84,49.09,48.560001,49.029999,46.489544,6446900
MorganStanley,2019-11-19,49.220001,49.599998,49.209999,49.330002,46.773994,6980100
MorganStanley,2019-11-20,48.959999,49.110001,48.389999,49.099998,46.555912,9138700
MorganStanley,2019-11-21,49.25,49.34,48.73,48.84,46.309383,8353600
MorganStanley,2019-11-22,48.939999,49.259998,48.82,49.25,46.698147,6609800
MorganStanley,2019-11-25,49.349998,49.98,49.32,49.959999,47.371353,8461000
MorganStanley,2019-11-26,49.919998,49.93,49.07,49.41,46.849846,10360600
MorganStanley,2019-11-27,49.630001,49.869999,49.5,49.779999,47.20068,8614000
MorganStanley,2019-11-29,49.700001,49.720001,49.369999,49.48,46.916229,4138400
MorganStanley,2019-12-02,49.580002,49.959999,49.060001,49.080002,46.536945,8117100
MorganStanley,2019-12-03,48.41,48.439999,47.439999,48.110001,45.617207,12217700
MorganStanley,2019-12-04,48.360001,49.09,48.169998,48.84,46.309383,8608400
MorganStanley,2019-12-05,49.139999,49.259998,48.950001,49.07,46.52747,6680700
MorganStanley,2019-12-06,49.84,50.240002,49.73,49.799999,47.219643,9487300
MorganStanley,2019-12-09,49.529999,49.900002,49.43,49.599998,47.030006,6382300
MorganStanley,2019-12-10,49.529999,49.93,49.27,49.669998,47.096375,10009600
MorganStanley,2019-12-11,49.66,49.790001,49.419998,49.450001,46.887779,6296300
MorganStanley,2019-12-12,49.650002,50.869999,49.470001,50.689999,48.06353,11553400
MorganStanley,2019-12-13,50.740002,51.150002,50.139999,50.240002,47.636845,10191200
MorganStanley,2019-12-16,50.77,51.119999,50.599998,50.720001,48.091972,11007500
MorganStanley,2019-12-17,50.82,51.220001,50.77,50.900002,48.262653,10446000
